name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Charmeleon,Base Set,024/102,Uncommon,Pokemon,Fire,80,Stage 1,Fire / 80 / Stage 1,,[CCC] Slash (30),[CRR] Flamethrower (50) - Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.,,,Water,,1,,no,42365_charmeleon.jpg,1,collection,https://store.tcgplayer.com/pokemon/base-set/charmeleon
Haunter,Base Set 2,043/130,Uncommon,Pokemon,Psychic,60,Stage 1,Psychic / 60 / Stage 1,,[P] Hypnosis - The Defending Pokémon is now Asleep.,[PP] Dream Eater (50) - You can't use this attack unless the Defending Pokémon is Asleep.,,,,Fighting -30,1,,no,42506_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/base-set-2/haunter
Charmeleon (Delta Species),EX Crystal Guardians,30/100,Uncommon,Pokemon,Lightning,70,Stage 1,Lightning / 70 / Stage 1,,[CC] Slash (20),"[CCL] Thunder Jolt (50) Flip a coin. If tails, Charmeleon does 10 damage to itself.",,,Water,,1,,no,84236_charmeleon-delta-species.jpg,1,collection,https://store.tcgplayer.com/pokemon/ex-crystal-guardians/charmeleon-delta-species
Gastly,Fossil,33/62,Uncommon,Pokemon,Psychic,50,Basic,Psychic / 50 / Basic,,"[P] Lick (10) - Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",[PP] Energy Conversion - Put up to 2 Energy cards from your discard pile into your hand. Gastly does 10 damage to itself.,,,,Fighting -30,,,no,44435_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/fossil/gastly
Gengar,Fossil,05/62,Holo Rare,Pokemon,Psychic,80,Stage 2,Psychic / 80 / Stage 2,"Pokémon Power: Curse - Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon) This power can't be used if Gengar is Asleep, Confused, or Paralyzed.","[PPP] Dark Mind (30) - If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",,,,,Fighting -30,1,,no,106521_gengar-5.jpg,1,collection,https://store.tcgplayer.com/pokemon/fossil/gengar-5
Haunter,Fossil,21/62,Rare,Pokemon,Psychic,50,Stage 1,Psychic / 50 / Stage 1,"Pokémon Power: Transparency - Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.",[CP] Nightmare (10) - The Defending Pokémon is now Asleep.,,,,,Fighting -30,,,no,44429_haunter-21.jpg,1,collection,https://store.tcgplayer.com/pokemon/fossil/haunter-21
Eevee,Hidden Fates,49/68,Common,Pokemon,Colorless,60,Basic,Colorless / 60 / Basic,,[C] Gnaw (20),,,,Fighting ×2,,1,,no,197694_eevee-49.jpg,1,collection,https://store.tcgplayer.com/pokemon/hidden-fates/eevee-49
Weezing,Hidden Fates,29/68,Rare,Pokemon,Psychic,120,Stage 1,Psychic / 120 / Stage 1,"Surrender Now - Once during your turn, if this Pokémon is discarded with the effect of Jessie & James, you may have your opponent discard a card from their hand. (They discard that card after the effect of Jessie & James.)",[C] Tackle (40),,,,Psychic ×2,,3,,no,197673_weezing.jpg,1,collection,https://store.tcgplayer.com/pokemon/hidden-fates/weezing
Absol,MBG: MEGA Starter Set Mega Gengar ex,007/021,Common,Pokemon Japan,Darkness,110,Basic,Darkness / 110 / Basic,,[C] Allure - Draw 2 cards.,[DC] Dark Cutter (60),,,Grass ×2,,1,I,japanese,660124_absol.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/absol
Air Balloon,MBG: MEGA Starter Set Mega Gengar ex,018/021,Common,Pokemon Japan,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,The Retreat Cost of the Pokémon this card is attached to is {{e}}{{e}} less.,,,,,,,,I,japanese,660134_air-balloon.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/air-balloon
