name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,category,source_url
Welder (#25 Charizard Stamped),Battle Academy,189/214,Promo,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Attach up to 2 Fire Energy cards from your hand to 1 of your Pokémon. If you do, draw 3 cards. You may play only 1 Supporter card during your turn (before your attack).",,,,,,,,,no,219100_welder-189-214-25-charizard-stamped.jpg,deck,https://store.tcgplayer.com/pokemon/battle-academy/welder-189-214-25-charizard-stamped
Boss's Orders [Ghetsis],ME01: Mega Evolution,114/132,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.,,,,,,,,I,yes,654453_bosss-orders-ghetsis.jpg,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/bosss-orders-ghetsis
Rare Candy,ME01: Mega Evolution,125/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn.",,,,,,,,I,yes,654464_rare-candy-125-132.jpg,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/rare-candy-125-132
Switch,ME01: Mega Evolution,130/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,Switch your Active Pokémon with 1 of your Benched Pokémon.,,,,,,,,I,yes,654469_switch.jpg,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/switch
Ultra Ball,ME01: Mega Evolution,131/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,"You can use this card only if you discard 2 other cards from your hand. Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,yes,654470_ultra-ball.jpg,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/ultra-ball
Basic Fire Energy,MEE: Mega Evolution Energies,2,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656264_basic-fire-energy-002.jpg,deck,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-fire-energy-002
Nest Ball,SV: Paldean Fates,084/091,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. You may play any number of Item cards during your turn.",,,,,,,,G,no,534446_nest-ball.jpg,deck,https://store.tcgplayer.com/pokemon/sv-paldean-fates/nest-ball
Eevee,SV: Prismatic Evolutions,074/131,Common,Pokemon,Colorless,50,Basic,Colorless / 50 / Basic,"Boosted Evolution - As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it.",[CC] Reckless Charge (30) - This Pokémon also does 10 damage to itself.,,,,Fighting ×2,,1,H,yes,610429_eevee.jpg,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/eevee
Flareon,SV: Prismatic Evolutions,013/131,Rare,Pokemon,Fire,130,Stage 1,Fire / 130 / Stage 1,,"[R] Destructive Flame (30) - Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.","[RCC] Fighting Blaze (90+) - If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",,,Water ×2,,2,G,no,610368_flareon.jpg,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/flareon
Professor's Research [Professor Oak],SV: Prismatic Evolutions,122/131,Common,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Discard your hand and draw 7 cards.,,,,,,,,G,no,610477_professors-research-professor-oak.jpg,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/professors-research-professor-oak
Evolution Incense,SWSH01: Sword & Shield Base Set,163/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Choose an Evolution Pokémon from your deck, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,D,no,208489_evolution-incense.jpg,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/evolution-incense
Ordinary Rod,SWSH01: Sword & Shield Base Set,171/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Choose 1 or both: • Shuffle up to 2 Pokémon from your discard pile into your deck. • Shuffle up to 2 basic Energy cards from your discard pile into your deck.,,,,,,,,D,no,208500_ordinary-rod.jpg,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/ordinary-rod
Sudowoodo,SWSH01: Sword & Shield Base Set,100/202,Uncommon,Pokemon,Fighting,100,Basic,Fighting / 100 / Basic,,[C] Double Draw - Draw 2 cards.,[C] Flail (10x) - This attack does 10 damage for each damage counter on this Pokémon.,,,Grass ×2,,1,D,no,208409_sudowoodo.jpg,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/sudowoodo
Charizard,SWSH04: Vivid Voltage,025/185,Rare,Pokemon,Fire,170,Stage 2,Fire / 170 / Stage 2,"Battle Sense - Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.",[RR] Royal Blaze (100+) - This attack does 50 more damage for each Leon in your discard pile.,,,,Water ×2,,3,D,no,226395_charizard.jpg,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charizard
Charmander,SWSH04: Vivid Voltage,023/185,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,[R] Collect - Draw a card.,[RR] Flare (30),,,Water ×2,,1,D,no,226392_charmander.jpg,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charmander
Charmeleon,SWSH04: Vivid Voltage,024/185,Uncommon,Pokemon,Fire,90,Stage 1,Fire / 90 / Stage 1,,[R] Slash (20),[RR] Raging Flames (60) - Discard the top 3 cards of your deck.,,,Water ×2,,2,D,no,226394_charmeleon.jpg,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charmeleon
Leon,SWSH04: Vivid Voltage,154/185,Holo Rare,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"During this turn, your Pokémon's attacks do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).",,,,,,,,D,no,226508_leon.jpg,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/leon
Zinnia's Resolve,SWSH07: Evolving Skies,164/203,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,You can play this card only if you discard 2 other cards from your hand. Draw a card for each of your opponent's Pokémon in play.,,,,,,,,E,no,246789_zinnias-resolve.jpg,deck,https://store.tcgplayer.com/pokemon/swsh07-evolving-skies/zinnias-resolve
Kindler,SWSH09: Brilliant Stars,143/172,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,You can use this card only if your discard a R Energy card from your hand. Look at the top 7 cards of your deck and put up to 2 of them into your hand. Shuffle the other cards back into your deck.,,,,,,,,F,no,257309_kindler.jpg,deck,https://store.tcgplayer.com/pokemon/swsh09-brilliant-stars/kindler
Magma Basin,SWSH09: Brilliant Stars,144/172,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Once during each player's turn, that player may attach a Fire Energy card from their discard pile to 1 of their Benched Fire Pokémon. If a player attached Energy to a Pokémon in this way, put 2 damage counters on that Pokémon.",,,,,,,,F,no,257310_magma-basin.jpg,deck,https://store.tcgplayer.com/pokemon/swsh09-brilliant-stars/magma-basin
